network_age,Aggregate_Total_Rev,Aggregate_SMS_Rev,Aggregate_Data_Rev,Aggregate_Data_Vol,Aggregate_ONNET_REV,Aggregate_OFFNET_REV,aug_user_type_3G,sep_user_type_3G,aug_fav_a_mobilink,aug_fav_a_ufone,sep_fav_a_mobilink,sep_fav_a_ufone,Class
2083,679.97,13.58,18.75,460147.3272,1014,980,1,1,0,0,0,1,Active
2086,771.0304,31.6,5,875100.6367,7051,47468,1,1,0,0,1,0,Churned
2094,1791.2456,12.57,0,85700.3008,10735,48498,0,0,0,0,0,1,Active
2098,496.1844,39.07,0,8738505.772,15741,3023,1,1,0,1,0,1,Active
2100,782.15,20.23,75,116751.5869,4717,6904,1,1,0,0,0,1,Churned
2106,1458.39,5.98,0,1086.1651,0,2629,0,0,0,0,0,1,Active
2116,1187.7396,18.37,20,25908963.2,4112,22947,1,1,0,0,0,1,Active
2121,3640.582,156.79,283.75,17291853.57,18775,112237,1,1,0,0,0,0,Active
2132,332.8,5.25,21.25,7639898.588,1937,3547,0,1,0,1,0,0,Active
2139,1319.4,1.75,91.25,3223359.447,36453,3872,1,1,0,0,0,1,Active
2143,491.198,49.98,28.75,1417258.401,6369,16385,1,1,0,0,0,1,Churned
2162,148.172,8.04,31.25,668938.834,84,6716,0,0,0,1,0,1,Churned
2175,554.13,6.99,153.75,673204.0342,3387,7241,0,1,0,0,1,0,Active
2180,883.17,0,0,24901.0264,0,179,0,0,0,0,0,1,Active
2185,1588.04,17.94,0,546933.7715,9840,12812,0,0,0,1,0,1,Active
2185,1264.97,128.43,22.5,438808.2159,11969,47967,1,1,0,0,0,0,Churned
2201,758.62,40.14,51.25,12755.293,21872,16423,1,1,0,0,0,1,Active
2231,61.6004,11.31,5,641.5312,108,669,1,1,1,0,0,0,Churned
2236,380.7112,15.91,0,30.541,1482,18465,1,1,0,0,0,0,Churned
2237,891.412,19.58,25,455796.5185,13581,10325,0,0,0,0,0,1,Churned
2237,42.21,4.78,25,9426.9219,0,537,1,1,0,0,0,0,Churned
2245,2761.8,26.7,213.75,1276707.515,9179,33008,1,1,0,0,1,0,Churned
2261,72.616,13.7,1.25,58.3242,335,0,0,0,0,1,0,1,Churned
2284,261.7852,5.57,11.25,702.9053,1579,4722,1,1,0,1,0,0,Active
2292,545.042,6.49,50,481967.3311,753,10720,0,0,0,0,0,0,Active
2299,29.762,14.34,0,108.9141,24,179,1,1,0,1,0,1,Churned
2300,1203.162,22.74,20,3194449.683,13503,5604,1,1,0,0,0,1,Active
2304,3611.16,48.77,26.25,10300976.04,1470,76683,1,1,0,0,0,1,Active
2312,1093.922,14.6,70,459247.2343,4651,3848,0,0,0,0,0,1,Active
2345,1173.1604,1.21,155,3004549.821,0,1969,1,1,1,0,0,1,Active
2372,96.13,15.45,16.25,29.459,502,3191,0,0,1,0,0,0,Active
2381,34.41,7.17,5,546.4785,371,179,0,0,0,1,0,1,Churned
2394,2160.4356,30.92,50,50343292.57,14547,47514,1,1,0,0,0,1,Active
2399,2534.69,8.33,42.5,2379061.373,0,26230,1,1,0,0,0,1,Active
2417,142.03,7.05,1.25,36694.3652,2421,967,0,0,0,0,0,0,Active
2420,243.93,26.08,13.75,184331.4824,3705,6082,1,1,0,0,0,0,Churned
2426,1182.3276,263.38,3.75,2252.8438,1996,39607,1,1,0,0,0,0,Churned
2437,1082.31,27.43,22.5,573237.4248,29173,31141,1,1,0,0,0,1,Active
2437,305.85,13.15,23.75,9570.3828,3179,7183,0,0,1,0,0,0,Churned
2443,139.426,20.87,3.75,192,84,4469,1,1,0,0,0,0,Churned
2465,805.2024,60.97,0,49.9209,13380,34401,0,0,0,1,0,1,Churned
2470,1348.17,60.08,421.25,4017269.479,347,3812,1,1,0,0,0,0,Active
2471,519.882,8.92,2.5,401433.6513,4637,0,1,1,0,0,0,1,Churned
2480,2772.52,174.71,68.75,859323.0507,14054,63581,1,1,0,0,0,1,Active
2495,85.61,1.24,31.25,74275.2901,0,1350,1,1,0,0,0,0,Active
2499,1303.5856,28,78.75,3494.2705,52215,14089,0,0,0,0,0,1,Active
2528,197.31,39.35,1.25,16.3115,8067,3585,1,1,0,1,0,0,Churned
2533,1197.1784,14.34,0,1158535.702,0,4600,0,0,0,1,0,1,Churned
2539,505.88,8.75,1.25,3.6846,24804,8102,1,1,0,0,0,0,Active
2543,544.778,42.38,0,968509.3301,1996,2871,1,1,1,0,0,1,Active
2552,184.8208,0,48.75,4327937.147,753,4278,0,0,0,0,0,0,Active
2557,14.21,0,0,41668.7041,24,490,0,0,0,1,0,1,Active
2573,247.2212,33.69,28.75,2099.3398,4195,4517,1,1,0,0,0,1,Churned
2585,1313.1,0,0,3340274.291,0,0,1,1,0,0,0,1,Active
2585,897.284,19.59,137.5,2229748.695,16902,10540,1,1,1,0,1,0,Churned
2587,1062.108,61.92,0,32.7051,30142,26616,0,0,0,0,0,1,Churned
2604,178.0544,0,0,7301016.503,6201,1994,0,0,0,1,0,1,Active
2604,1916.8504,45.21,166.25,2889008.131,1590,32038,1,1,0,0,0,1,Active
2637,3434.4732,97.8,56.25,3778.2275,48793,85015,0,0,0,1,0,1,Active
2658,713.45,1.22,0,391293.7637,0,191,0,0,0,0,0,1,Active
2660,813.3808,27.98,18.75,330.6651,7584,16409,1,0,1,0,0,1,Active
2667,800.4288,6.89,196.25,1024072.837,1506,1611,0,0,0,1,0,1,Active
2668,5494.632,35.44,981.25,9890750.658,5844,9135,1,1,0,0,0,1,Churned
2670,1195.49,14.92,72.5,2702688.549,0,16224,1,1,0,0,0,1,Churned
2673,1961.1204,36,77.5,31469390.37,2155,6703,1,1,0,0,0,1,Active
2674,1444.38,11.37,298.75,1438707.392,12680,29554,1,1,0,0,0,1,Active
2691,1310.2728,36.75,0,4909702.271,8111,65351,1,1,0,0,0,1,Active
2692,1356.89,2.39,17.5,2783104.54,0,716,1,1,1,0,0,1,Active
2696,1543.4276,10.5,1.25,2.6748,18530,8389,0,0,0,0,0,1,Active
2699,642.05,1.75,0,208701.9014,239,537,0,0,0,0,0,1,Churned
2707,1313.1,0,0,3367450.12,0,0,0,0,0,1,0,1,Active
2743,10165.442,573.37,1757.5,7020364.355,56040,198653,1,1,0,0,0,1,Active
2760,1121.27,5.25,1.25,1972225.73,14663,3201,0,0,0,0,0,1,Active
2780,3908.46,13.7,353.75,1504235.35,15888,165663,1,1,0,0,0,1,Active
2798,3584.15,56.45,1448.75,2173399.189,8557,58734,1,1,0,0,0,1,Active
2812,440.5016,6.72,77.5,946863.3144,2152,4790,1,1,0,0,0,0,Active
2820,242.17,80.66,26.25,858.5508,2862,4493,1,1,0,0,0,0,Churned
2829,1091.89,1.23,28.75,1875860.98,0,895,0,0,0,1,0,1,Active
2833,1340.582,43.92,1.25,221134.4307,2235,9035,1,1,0,0,0,0,Churned
2838,544.098,19.72,6.25,434624.2656,502,6561,0,0,0,1,0,0,Churned
2872,1083.5468,0.87,0,92037.4433,5315,7421,0,0,0,0,0,1,Active
2903,148.444,36.94,12.5,426885.2852,0,1576,1,1,0,0,0,0,Churned
2905,529.88,100.94,6.25,551842.8331,17224,10361,1,1,0,0,0,1,Active
2943,56.44,15.21,7.5,360.6484,0,179,1,1,0,0,0,0,Churned
3019,354.3724,8.93,3.75,157332.0869,4057,6619,0,0,1,0,0,1,Active
3020,343.95,71.21,2.5,21.9531,9557,179,1,1,0,0,0,1,Churned
3031,578.988,13.12,27.5,4529486.773,2367,6824,1,1,0,1,0,1,Active
3046,887.91,14.34,0,76915.0547,0,5556,1,1,0,0,0,1,Active
3048,1113.61,0.6,0,46252.5127,5019,539,0,0,0,0,0,1,Active
3060,2969.51,53.07,63.75,2009878.209,12690,68124,0,0,0,0,0,1,Active
3094,506.898,16.73,0,1853.8701,12,3130,0,0,0,0,0,1,Churned
3096,1079.8984,2.39,8.75,17374263.26,477,550,1,1,1,0,0,1,Active
3097,1152.33,15.75,0,124973.1816,10014,14689,0,0,0,1,0,1,Active
3098,989.52,1.2,12.5,1290513.913,0,901,0,0,0,0,0,1,Active
3147,196.87,9.73,93.75,343113.8818,0,1325,0,0,0,0,0,0,Active
3155,1223.2404,0,1.25,1091551.36,8928,10612,1,1,0,1,0,1,Active
3168,623.42,42.68,11.25,36,0,23915,1,1,0,0,0,0,Churned
3183,307.532,0.01,3.75,50.0381,7668,10038,0,0,0,0,0,1,Active
3210,1024.482,0.09,590,2718053.559,813,860,0,0,0,0,0,1,Active
3211,905.43,9.49,161.25,4323788.261,1908,1039,1,1,0,0,0,1,Active
3213,749.94,23.61,47.5,890776.1983,1908,17937,1,1,1,0,1,0,Active
3215,1774.452,31.86,146.25,31942608.58,5430,32602,1,1,0,0,0,1,Active
3217,65.0844,20.23,0,31873.5566,0,251,0,0,0,0,0,0,Churned
3265,1139.63,0,11.25,3379496.46,0,2148,1,0,0,1,0,1,Active
3266,2911.516,39.73,1.25,358.9854,11035,117135,0,0,0,0,0,1,Active
3270,819.534,35.04,1.25,1036647.692,3251,15177,0,0,0,0,0,0,Active
3274,1018.508,146.53,23.75,6639.9375,10267,43729,1,1,0,1,1,0,Churned
3279,917.59,0,0,1846070.15,0,2151,0,0,0,0,0,1,Active
3299,1589.59,11.96,80,10155309.58,2474,9583,1,1,0,1,0,1,Active
3319,102.698,23.9,6.25,245.5137,2904,358,0,0,0,0,0,1,Churned
3325,532.53,15.92,12.5,446.7168,2385,22504,1,1,0,0,1,0,Churned
3326,1396.7108,0,48.75,3405497.508,0,358,0,0,0,0,0,1,Active
3340,566.66,0,0,287165.4756,502,920,0,1,0,0,0,1,Active
3341,919.066,5.99,0,200704.8692,0,1367,0,0,0,0,0,1,Active
3382,1046.328,6.71,0,312453.664,6387,1899,0,0,0,0,0,1,Active
3399,616.952,19.24,1.25,4647.8037,24918,1350,1,1,0,0,0,1,Active
3418,61.7884,23.9,18.75,893.3828,0,681,0,0,1,0,1,0,Churned
3459,404.86,36.65,78.75,103838.3018,4974,5901,0,0,0,0,0,0,Churned
3460,1045.148,13.12,31.25,82667.3496,3251,4553,1,1,0,0,0,1,Active
3483,2811.32,99.43,7.5,1006882.501,13638,68409,0,1,0,0,0,1,Active
3497,1740.914,67.37,87.5,19453.8086,13390,28780,1,1,0,0,0,1,Active
3504,367.002,27.45,12.5,725414.3242,5367,6944,1,0,0,1,0,1,Active
3504,299.57,5.38,27.5,444258.4561,954,7231,0,0,0,0,0,0,Churned
3509,2227.844,0,93.75,3219862.67,0,3644,0,0,0,0,0,1,Active
3515,1021.68,0.6,1.25,44264.4648,1212,179,0,0,0,0,0,1,Active
3561,961.8212,58.48,121.25,435237.2461,2978,5784,0,0,0,1,0,1,Active
3566,1454.096,15.75,27.5,73060.8311,15687,9823,0,0,0,0,0,1,Active
3576,153.734,7.17,7.5,289.2783,2272,2402,0,0,0,0,0,0,Churned
3609,334.31,0,83.75,801397.2559,1482,7696,1,1,0,1,0,0,Active
3612,3240.65,0.6,1.25,9459298.685,0,4271,1,1,0,0,0,1,Active
3638,573.2108,34.04,33.75,22440958.85,216,4893,1,1,1,0,1,0,Active
3651,133.1844,32.18,0,107.125,1004,1398,0,1,0,0,0,0,Churned
3657,2857.67,17.94,0,345398.6182,0,597,1,1,0,0,0,1,Active
3661,1285.72,36.23,61.25,1709812.973,2101,5555,0,0,0,0,0,0,Active
3667,716.1,24.12,1.25,0.2969,34344,8592,0,0,0,0,0,1,Active
3671,476.97,19.16,183.75,466197.4561,992,4299,1,1,0,0,0,0,Active
3686,1102.0668,20.02,37.5,382804.5332,16672,21512,0,0,0,0,0,1,Active
3689,900.98,0,0,73951.0078,1733,179,0,0,0,0,0,1,Active
3700,1248.978,12.89,15,1046183.858,0,537,1,1,1,0,0,1,Active
3701,442.0844,1.75,5,292.5508,3353,6334,0,0,0,0,0,1,Active
3702,514.698,2.62,56.25,1044334.345,1340,5868,0,0,0,0,0,1,Active
3702,187.5,30.98,0,40543.8496,287,5043,1,1,0,0,0,0,Churned
3705,875.4,0,0,165154.3701,0,0,0,0,0,0,0,1,Active
3705,1471.918,68.25,203.75,12750606.7,1652,15118,1,1,0,1,0,1,Active
3738,170.44,0,22.5,8602.2959,634,932,1,1,1,0,0,1,Active
3744,1026.798,1.76,36.25,355.0362,20376,8640,0,0,0,0,0,1,Active
3762,317.362,0.6,16.25,800.7617,4830,3776,0,0,0,0,0,1,Active
3784,4383.3,0,53.75,3442257.592,0,24821,1,1,1,0,0,1,Active
3794,997.69,0,2.5,5627720.023,0,716,1,1,0,0,0,1,Active
3801,1053.01,9.48,32.5,225494.2549,5713,4813,1,1,1,0,0,1,Active
3804,230.53,12.25,8.75,312.6758,8856,9321,1,0,0,0,0,0,Active
3805,681.936,81.47,3.75,3624.375,39261,3657,0,0,0,1,0,1,Active
3831,1645.79,0,0,8851.4658,1685,14818,1,0,0,0,0,1,Active
3837,87.596,26.29,2.5,12.6611,1949,895,0,1,0,0,0,1,Churned
3840,1220.48,0,0,30812.7959,239,14280,1,1,0,1,0,1,Active
3841,899.39,0.03,127.5,1139263.481,0,2685,1,1,0,1,0,1,Churned
3850,650.4308,14.34,1.25,19.5117,23007,21811,0,0,0,0,0,1,Churned
3869,379.3112,11.95,27.5,3007865.669,588,251,1,1,0,1,0,1,Churned
3877,1332.886,9.48,3.75,346760.1201,6694,47457,0,1,0,0,0,1,Active
3886,2840.91,43.96,1.25,1156397.873,251,134402,1,1,1,0,0,1,Churned
3887,1503.474,10.76,5,1420001.152,4364,6285,0,0,0,0,0,1,Active
3891,5993,87.94,546.25,1954697.793,46380,6131,1,1,0,0,0,1,Active
3901,1452.7456,19.57,155,1629975.602,12754,12190,1,1,1,0,0,1,Active
3920,3911.3,53.73,0,29129.9268,21518,146156,1,1,0,0,0,1,Active
3955,1029.14,24.5,17.5,590660.2422,15406,6346,0,1,1,0,0,1,Active
3962,1465.878,21.44,92.5,2826443.068,1195,1134,1,1,0,0,0,1,Active
3994,804.0848,7,0,2364.6768,30071,8091,0,0,0,0,0,1,Active
4027,3415.2864,0,21.25,25161008.91,744,112070,1,1,0,0,0,1,Active
4038,1222.93,13.63,0,274207.4853,0,2752,0,0,0,0,0,1,Active
4075,1689.97,14.34,0,1649440.935,0,16969,1,1,1,0,0,1,Active
4083,2022.48,0,17.5,18146779.08,0,1611,1,1,0,0,0,1,Active
4083,380.03,83.72,155,83681.917,2486,4852,1,1,0,0,0,0,Churned
4102,1143.9,1.75,0,5690.0996,1745,21546,0,0,1,0,0,1,Active
4151,541.682,0,0,15912.5723,5450,4613,0,0,0,0,0,1,Active
4153,113.868,19.98,22.5,2317.459,1243,251,1,1,0,0,0,1,Active
4158,1360.42,0,0,62424.3115,0,3346,1,1,0,1,0,1,Active
4190,1900.89,14.63,191.25,12871351.8,70596,6309,1,1,1,0,0,1,Active
4192,1232.23,32.26,0,67341.581,0,12068,1,1,0,1,0,1,Active
4192,1313.1,0,0,1895829.15,0,0,1,1,0,0,0,1,Active
4222,1313.1,0,0,2174469.22,0,0,1,1,0,0,0,1,Active
4233,1340.2544,78.03,72.5,11694.8086,29388,59376,1,1,0,0,0,1,Active
4236,2567.95,16.73,7.5,813623.8799,0,100260,1,1,0,1,0,1,Churned
4238,920.19,18.23,6.25,647703.8994,0,2031,1,1,0,0,0,1,Active
4631,2402.2836,14.18,68.75,39447583.26,16591,14973,1,1,0,0,0,1,Active
4632,974.28,48.93,120,365654.5869,20988,21153,0,0,0,0,0,1,Active
4862,925.89,0,6.25,3878935.695,0,240,1,1,0,0,0,1,Active
4863,1400.1604,182.78,77.5,311973.1495,10971,39032,1,1,1,0,0,1,Churned
4865,2528.67,77.72,10,1660324.604,0,42780,1,1,0,0,0,1,Active
4866,1839.6708,47.8,0,1016740.946,0,37282,1,1,0,1,0,1,Active
4869,400.0004,40.24,25,560.1455,3167,12464,1,1,0,0,1,0,Active
4869,2626.2,0,0,1426128.164,0,0,1,1,0,0,0,1,Active
5334,875.4,0,0,52633.2686,0,0,1,1,0,0,0,1,Active
5346,2065.94,0,142.5,3881919.986,3657,4301,1,1,0,1,0,1,Active
5349,1213.5504,9.48,0,151202.7188,3227,23159,0,0,0,1,0,1,Active
5356,1424.17,105.77,192.5,90541.0771,17843,6083,1,1,0,0,0,1,Active
5363,1321.3504,0,0,637.3896,239,0,0,0,0,0,0,1,Active
-8,485.7008,21.34,0,2327900.778,0,179,0,0,0,0,0,1,Churned
-5,857.1008,63.47,190.03,1565901.139,716,1240,1,1,0,0,0,0,Churned
-4,2898.824,25.1,1.25,305853.3282,0,82221,1,1,1,0,0,0,Churned
-3,307.1204,6.25,75,345076.2626,477,1284,1,1,0,0,0,1,Churned
-2,130.578,94.85,1.25,2.1953,150,1121,0,0,0,1,0,1,Churned
6,468.4244,31.64,20,2772.2129,3504,19404,1,1,1,0,1,0,Active
102,1527.4212,0,0,5756.7803,116328,13740,0,0,0,1,0,1,Active
103,153.7964,3.5,8.75,22028.7754,5244,4452,0,0,0,1,0,1,Active
109,224.6564,120.75,0,856.3242,2700,2735,0,0,0,0,0,1,Active
110,1090.5,1.75,0,14.9102,22176,71699,0,0,0,0,1,0,Active
110,13.85,0.01,10,693.2861,240,120,0,0,0,1,0,1,Churned
114,183.84,1.76,0,6509.1582,3012,3534,0,1,0,0,0,1,Active
114,549.51,7.18,0,13.1279,17148,19569,0,0,0,0,0,1,Active
114,532.026,1.75,46.25,4378.7695,11100,30285,1,1,0,0,1,0,Churned
114,356.41,102.55,36.25,61200.8525,1632,10762,1,1,0,1,0,0,Churned
117,528.158,0,25,1294.5195,18144,16380,0,0,1,0,0,1,Active
117,706.486,54.25,0,66691.7031,5076,15228,0,0,0,0,0,1,Active
120,878.72,294,6.25,696816.2705,2208,419,0,0,1,0,0,1,Active
122,335.3816,5.25,40,2088.7676,15252,1052,0,0,0,1,0,1,Churned
123,76.714,0,1.25,1.4951,564,6408,0,0,0,1,1,0,Active
123,669.11,14.83,0,11813558.28,684,15331,1,1,0,1,0,1,Active
127,326.858,1.75,85,11379472.08,0,777,1,1,1,0,0,0,Active
127,290.3704,0,103.75,15494980.65,0,4424,1,1,0,0,0,0,Churned
130,1204.37,38.67,7.5,4052732.772,71208,4545,1,1,0,1,0,1,Active
130,838.268,5.98,3.75,12358480.18,22380,5254,1,1,1,0,0,1,Active
131,1665.936,36.75,58.75,3492537.176,672,11495,1,1,0,0,0,1,Active
132,1674.63,14,7.5,7.916,93336,3117,0,0,0,1,0,1,Active
132,924.46,23.66,0,805565.3593,0,1163,1,1,0,0,0,1,Active
132,180.238,0,1.25,49.0645,3504,3888,0,0,1,0,0,1,Active
133,643.59,40.88,3.75,371358.8438,9096,11546,1,1,0,0,0,1,Active
133,596.63,0,0,1150.4736,2304,1512,0,0,0,1,0,1,Active
134,812.5,73.68,8.75,663969.1299,27228,765,1,1,0,0,0,1,Active
135,1073.288,0.01,158.75,41440817.15,1248,3086,1,1,0,0,0,1,Active
135,1321.8248,308.42,218.75,95368.5029,21096,34919,1,1,0,0,0,0,Active
137,487.022,0,51.25,3837.4932,23760,12960,0,0,1,0,0,1,Active
137,546.47,14,1.25,55356187.34,1428,16702,1,1,0,1,0,0,Active
137,196.59,0,0,38424.5,14904,2098,0,0,1,0,0,1,Churned
138,223.7996,74.24,38.75,21134.9131,4488,4607,0,0,0,0,0,1,Active
138,1266.75,1.75,68.75,9974712.357,26400,6066,1,1,0,0,0,1,Active
139,1294.1368,446.55,65,457645.7227,12216,8148,0,0,1,0,0,1,Active
140,841.154,159.89,23.75,1048012.564,5964,6527,1,1,0,0,0,1,Active
140,593.9008,3.5,35,1202513.707,11784,4644,1,1,1,0,0,1,Churned
142,241.588,0,0,10972.0264,6816,5400,0,0,0,0,0,1,Active
142,444.16,3.5,0,50.8291,16416,14382,0,0,0,0,0,1,Churned
143,1505.19,0,22.5,315423.7041,0,14567,1,1,0,0,0,1,Active
145,1229.7016,71.49,220,1904637.535,10428,6843,1,1,0,0,0,1,Active
146,1573.46,204.29,2.5,109153.8418,20352,24971,1,1,0,0,0,1,Active
147,1379.5908,293.14,143.75,1495256.854,5316,10186,1,1,0,0,0,1,Active
149,911.2984,134.59,67.5,13956.0303,29724,23748,0,0,0,0,0,1,Active
150,4447.86,161.38,358.75,8276490.735,4344,24045,1,1,0,1,0,1,Active
151,1191.54,23.48,0,48385.6914,24468,4176,1,1,0,0,0,1,Active
151,1507.77,0,0,63.7432,2436,31296,1,1,0,0,0,1,Active
151,1060.24,53.7,0,800027.0616,6804,5568,0,0,0,0,0,1,Active
151,899.6324,4.7,148.75,39960102.3,168,3921,1,1,1,0,0,0,Active
152,915.73,0,1.25,284724.6142,2400,240,1,1,0,0,0,1,Active
152,1349.06,0,3.75,936196.6514,912,814,1,1,0,0,0,1,Active
153,2500.2664,86.61,881.25,167937.0596,5124,60741,0,0,0,0,0,0,Churned
155,609.864,4.1,102.5,44579175.13,1524,9262,1,1,0,0,1,0,Active
155,1522.614,348.02,1.25,5.0078,20568,74948,0,0,0,0,0,1,Churned
157,1031.2108,57.62,121.25,3274262.34,9732,11445,0,1,0,1,0,1,Churned
158,1164.3672,27.12,82.5,14264167.72,1416,20517,1,1,0,1,0,1,Active
161,1109.198,22.64,6.25,978.1816,11700,67635,0,0,0,0,0,0,Churned
165,1732.28,0,12.5,668292.3877,0,71928,1,1,0,1,1,0,Active
165,282.898,16.74,36.25,135136.9355,36,4000,1,1,0,0,0,0,Churned
167,885.4856,33.53,108.75,462925.0332,3732,26674,0,0,0,0,0,0,Churned
168,738.564,25.65,0,49.0908,0,1977,0,0,1,0,0,1,Churned
168,46.28,19.35,8.75,29.4697,0,358,0,0,0,0,0,0,Churned
168,1366.02,91.22,0,890476.2061,7260,98932,1,1,0,0,0,0,Churned
170,1126.066,24.38,0,1142353.187,0,11482,1,1,0,0,0,1,Churned
173,1300.67,50.23,3.75,1388410.418,0,13031,1,1,0,0,0,1,Active
174,65.77,11.31,20,22041.8564,624,2219,0,0,0,0,0,1,Churned
175,223.198,18.54,38.75,42489.2178,816,2659,0,0,0,0,0,1,Churned
179,2207.1,121.58,41.25,870912.4199,3384,97424,1,1,0,0,0,1,Churned
179,1218.572,188.59,0,18.4258,30120,25354,1,1,0,1,0,0,Churned
180,687.11,136.56,22.5,17036.7813,1956,11768,0,0,1,0,1,0,Churned
185,294.176,58.02,13.75,3282096.069,1368,6905,0,0,1,0,0,1,Churned
190,265.488,20.87,25,793556.3418,3834,7526,0,0,0,0,0,1,Churned
191,1883.538,30.02,53.75,3586373.606,12444,30599,1,1,0,1,0,1,Active
191,96.72,0,20,311388.7041,0,358,1,1,0,0,0,0,Active
192,1004.496,7.17,195,2120247.791,6060,19572,0,0,0,0,0,1,Churned
195,78.244,31.07,10,479.1865,1980,1211,1,1,0,0,0,0,Churned
196,2443.14,567.38,17.5,885136.6631,0,52238,1,1,0,0,0,1,Active
197,206.1416,6.12,7.5,300.4922,780,3853,1,1,0,1,0,0,Churned
197,488.28,110.27,11.25,42615.9326,720,2652,1,1,0,1,0,0,Churned
197,64.508,23.9,6.25,334.6318,0,716,1,0,0,0,0,0,Churned
204,93.26,16.73,53.75,15207.4532,216,830,0,0,0,0,0,0,Churned
206,174.9788,25.07,35,3064741.425,906,3993,1,0,0,0,0,0,Churned
206,902.388,64.39,68.75,710991.4942,3450,9335,1,1,0,0,0,0,Churned
210,30.7884,7.17,0,702.4287,348,1547,0,0,0,0,0,0,Churned
212,209.9748,16.73,2.5,128786.4131,240,4369,0,0,0,0,0,0,Churned
224,599.6892,38.84,8.75,693812.3477,4668,4619,1,1,0,0,0,0,Churned
227,219.904,33.75,3.75,35845.0654,858,7990,0,0,0,1,0,1,Churned
228,473.6044,12.78,0,529965.1299,216,1630,0,0,0,0,0,0,Churned
231,705.6384,18.27,0,832.5762,10740,9398,0,0,0,1,0,1,Churned
240,1256.908,28.98,136.25,15313555.78,2184,64119,1,1,1,0,0,0,Churned
249,641.4,8.92,2.5,53.6611,5166,43660,0,0,0,0,0,0,Churned
284,1509.52,69.61,78.75,13476288.06,486,32602,1,1,0,0,0,0,Churned
343,254.3396,24.37,3.75,51044.1719,114,12691,0,0,0,0,0,0,Churned
345,1659.2812,9.56,140,46951698.56,168,33614,1,1,0,1,0,0,Churned
358,1788.5264,5.25,11.25,1511567.094,0,48461,1,1,0,0,0,1,Active
358,270.4684,60.32,1.25,4.8496,1524,8093,0,0,0,1,0,0,Churned
363,1097.2004,83.52,25,459614.2197,0,22808,1,1,1,0,0,0,Churned
366,1301.1488,24.46,0,266689.4639,14670,32948,0,0,0,0,0,1,Churned
369,1827.44,51.99,0,941.4883,11064,62435,0,0,0,0,0,1,Churned
369,159.754,16.73,8.75,4868.1738,636,2105,0,0,0,0,0,1,Churned
377,897.34,0,0,1376099.551,0,179,1,1,0,0,0,1,Active
381,193.372,28.04,10,16683.5547,3612,5064,1,1,0,1,0,1,Churned
382,556.27,5.25,61.25,39093342.14,216,8851,1,1,1,0,0,0,Active
396,85.4004,11.95,27.5,1819.7568,108,2657,0,0,0,0,0,0,Churned
397,2054.47,333.43,113.75,2759253.945,0,358,1,1,0,1,0,1,Churned
406,409.3764,37.98,0,99516.6015,2718,10584,1,1,0,0,0,0,Churned
421,2246.29,166.34,386.25,3563653.769,12570,20535,0,0,1,0,0,1,Active
422,1170.17,27.4,7.5,106.0205,4434,91967,0,0,0,1,1,0,Churned
425,528.79,7.17,20,1049095.424,0,2029,1,1,0,0,0,1,Churned
427,299.2504,28.51,0,586820.2129,11136,5742,1,1,0,1,0,1,Churned
429,995.16,72.56,0,1.6973,28218,50123,0,1,0,0,0,1,Churned
435,1328.28,25.1,6.25,2763981.172,1728,15100,1,1,0,1,0,1,Churned
439,1044.6304,97.29,23.75,1020.6504,24636,47789,1,1,0,0,0,0,Churned
441,1804.4156,0,643.75,25808729.15,576,3376,0,0,0,1,0,1,Active
443,544.138,16.01,3.75,1248844.508,0,4589,1,1,0,0,0,1,Churned
445,553.47,33.85,32.5,115799.9854,822,892,1,1,0,0,0,0,Churned
447,1062.624,0.6,51.25,7412235.206,0,358,1,1,0,0,0,1,Active
455,975.462,28.69,27.5,424396.3096,1368,27927,0,0,0,0,0,1,Churned
460,56.06,33.46,0,337.5703,0,586,0,0,1,0,0,0,Churned
469,497.632,43.03,3.75,2.6367,11724,17042,0,0,0,0,0,0,Churned
471,212.668,13.7,25,435252.5381,0,358,1,1,0,0,0,0,Churned
476,780.27,131.99,2.5,247180.4541,9108,3604,1,1,0,1,0,1,Churned
480,1484.88,11.95,3.75,834886.3204,0,7167,1,1,0,0,0,1,Active
485,48.0664,20.87,2.5,1061014.036,0,716,0,0,0,0,0,0,Churned
508,6698.9676,22.75,107.5,980645.2842,42894,330409,1,1,1,0,1,0,Active
508,724.5,19.59,98.75,158624.3037,10926,12466,1,1,1,0,0,1,Churned
510,55.25,27.4,0,474528.2129,0,716,0,0,0,0,0,0,Churned
536,593.942,39.65,18.75,802.1836,12534,25906,1,1,0,0,0,1,Churned
539,766.114,21.51,0,1671248.18,0,537,1,0,0,0,0,1,Churned
558,144.2248,21.51,0,365187.3711,672,2620,0,0,0,0,1,0,Churned
558,29.5464,7.17,0,19.1533,12,444,0,0,0,1,1,0,Churned
565,888.8744,19.04,1.25,179826.9209,1182,4768,0,0,0,0,0,1,Churned
569,236.6284,18.48,20,9040.2402,6786,8545,1,1,0,0,0,0,Active
579,34.092,17.29,5,8.9033,762,179,0,0,0,0,0,0,Churned
579,1020.7932,82.35,63.75,23957.9805,16452,31707,0,0,1,0,0,1,Churned
586,377.018,86.78,62.5,311391.1025,228,3329,1,1,0,0,0,0,Churned
590,43.342,29.62,5,139.3408,0,537,1,1,0,0,0,0,Churned
591,3140.62,13.15,82.5,31389830.49,600,7083,1,1,0,0,0,1,Active
